RedFighter,BlueFighter,Date,Location,Winner,WeightClass,Finish,FinishDetails,FinishRound,WinningFIghter,LosingFighter
Gabriel Bonfim,Mounir Lazzez,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Welterweight,SUB,Guillotine Choke,1,Gabriel Bonfim,Mounir Lazzez
Shamil Abdurakhimov,Jailton Almeida,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Heavyweight,KO/TKO,Punches,2,Jailton Almeida,Shamil Abdurakhimov
Luan Lacerda,Cody Stamann,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Bantamweight,U-DEC,None,3,Cody Stamann,Luan Lacerda
Ismael Bonfim,Terrance McKinney,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Lightweight,KO/TKO,Flying Knee,2,Ismael Bonfim,Terrance McKinney
Warlley Alves,Nicolas Dalby,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Welterweight,S-DEC,None,3,Nicolas Dalby,Warlley Alves
Josiane Nunes,Zarah Fairn,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Red,Women's Featherweight,U-DEC,None,3,Josiane Nunes,Zarah Fairn
Saimon Oliveira,Daniel Marcos,1/21/23,"Rio de Janeiro, Rio de Janeiro, Brazil",Blue,Bantamweight,KO/TKO,Knees,2,Daniel Marcos,Saimon Oliveira
Sean Strickland,Nassourdine Imavov,1/14/23,"Las Vegas, Nevada, USA",Red,Light Heavyweight,U-DEC,None,5,Sean Strickland,Nassourdine Imavov
Dan Ige,Damon Jackson,1/14/23,"Las Vegas, Nevada, USA",Red,Featherweight,KO/TKO,Punch,2,Dan Ige,Damon Jackson
Punahele Soriano,Roman Kopylov,1/14/23,"Las Vegas, Nevada, USA",Blue,Middleweight,KO/TKO,Kick,2,Roman Kopylov,Punahele Soriano
Ketlen Vieira,Raquel Pennington,1/14/23,"Las Vegas, Nevada, USA",Blue,Women's Bantamweight,S-DEC,None,3,Raquel Pennington,Ketlen Vieira
Umar Nurmagomedov,Raoni Barcelos,1/14/23,"Las Vegas, Nevada, USA",Red,Bantamweight,KO/TKO,Punch,1,Umar Nurmagomedov,Raoni Barcelos
Javid Basharat,Mateus Mendonca,1/14/23,"Las Vegas, Nevada, USA",Red,Bantamweight,U-DEC,None,3,Javid Basharat,Mateus Mendonca
Claudio Ribeiro,Abdul Razak Alhassan,1/14/23,"Las Vegas, Nevada, USA",Blue,Middleweight,KO/TKO,Punches,2,Abdul Razak Alhassan,Claudio Ribeiro
Mateusz Rebecki,Nick Fiore,1/14/23,"Las Vegas, Nevada, USA",Red,Lightweight,U-DEC,None,3,Mateusz Rebecki,Nick Fiore
Allan Nascimento,Carlos Hernandez,1/14/23,"Las Vegas, Nevada, USA",Red,Flyweight,SUB,Rear Naked Choke,1,Allan Nascimento,Carlos Hernandez
Dan Argueta,Nick Aguirre,1/14/23,"Las Vegas, Nevada, USA",Red,Featherweight,U-DEC,None,3,Dan Argueta,Nick Aguirre
Charles Johnson,Jimmy Flick,1/14/23,"Las Vegas, Nevada, USA",Red,Flyweight,KO/TKO,Punches,1,Charles Johnson,Jimmy Flick
Jared Cannonier,Sean Strickland,12/17/22,"Las Vegas, Nevada, USA",Red,Middleweight,S-DEC,None,5,Jared Cannonier,Sean Strickland
Arman Tsarukyan,Damir Ismagulov,12/17/22,"Las Vegas, Nevada, USA",Red,Lightweight,U-DEC,None,3,Arman Tsarukyan,Damir Ismagulov
Amir Albazi,Alessandro Costa,12/17/22,"Las Vegas, Nevada, USA",Red,Flyweight,KO/TKO,Punch,3,Amir Albazi,Alessandro Costa
Alex Caceres,Julian Erosa,12/17/22,"Las Vegas, Nevada, USA",Red,Featherweight,KO/TKO,Kick,1,Alex Caceres,Julian Erosa
Drew Dober,Bobby Green,12/17/22,"Las Vegas, Nevada, USA",Red,Lightweight,KO/TKO,Punch,2,Drew Dober,Bobby Green
Cody Brundage,Michal Oleksiejczuk,12/17/22,"Las Vegas, Nevada, USA",Blue,Middleweight,KO/TKO,Punch,1,Michal Oleksiejczuk,Cody Brundage
Cheyanne Vlismas,Cory McKenna,12/17/22,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,U-DEC,None,3,Cory McKenna,Cheyanne Vlismas
Jake Matthews,Matthew Semelsberger,12/17/22,"Las Vegas, Nevada, USA",Blue,Welterweight,U-DEC,None,3,Matthew Semelsberger,Jake Matthews
Said Nurmagomedov,Saidyokub Kakhramonov,12/17/22,"Las Vegas, Nevada, USA",Red,Bantamweight,SUB,Guillotine Choke,2,Said Nurmagomedov,Saidyokub Kakhramonov
Rafa Garcia,Maheshate,12/17/22,"Las Vegas, Nevada, USA",Red,Lightweight,U-DEC,None,3,Rafa Garcia,Maheshate
Bryan Battle,Rinat Fakhretdinov,12/17/22,"Las Vegas, Nevada, USA",Blue,Welterweight,U-DEC,None,3,Rinat Fakhretdinov,Bryan Battle
David Dvorak,Manel Kape,12/17/22,"Las Vegas, Nevada, USA",Blue,Flyweight,U-DEC,None,3,Manel Kape,David Dvorak
Sergey Morozov,Journey Newson,12/17/22,"Las Vegas, Nevada, USA",Red,Bantamweight,U-DEC,None,3,Sergey Morozov,Journey Newson
Paddy Pimblett,Jared Gordon,12/10/22,"Las Vegas, Nevada, USA",Red,Lightweight,U-DEC,None,3,Paddy Pimblett,Jared Gordon
Santiago Ponzinibbio,Alex Morono,12/10/22,"Las Vegas, Nevada, USA",Red,Catch Weight,KO/TKO,Punches,3,Santiago Ponzinibbio,Alex Morono
Darren Till,Dricus Du Plessis,12/10/22,"Las Vegas, Nevada, USA",Blue,Middleweight,SUB,Neck Crank,3,Dricus Du Plessis,Darren Till
Bryce Mitchell,Ilia Topuria,12/10/22,"Las Vegas, Nevada, USA",Blue,Featherweight,SUB,Arm Triangle,2,Ilia Topuria,Bryce Mitchell
Raul Rosas Jr.,Jay Perrin,12/10/22,"Las Vegas, Nevada, USA",Red,Bantamweight,SUB,Neck Crank,1,Raul Rosas Jr.,Jay Perrin
Jairzinho Rozenstruik,Chris Daukaus,12/10/22,"Las Vegas, Nevada, USA",Red,Heavyweight,KO/TKO,Punch,1,Jairzinho Rozenstruik,Chris Daukaus
Edmen Shahbazyan,Dalcha Lungiambula,12/10/22,"Las Vegas, Nevada, USA",Red,Middleweight,KO/TKO,Punches,2,Edmen Shahbazyan,Dalcha Lungiambula
Chris Curtis,Joaquin Buckley,12/10/22,"Las Vegas, Nevada, USA",Red,Middleweight,KO/TKO,Punch,2,Chris Curtis,Joaquin Buckley
Billy Quarantillo,Alexander Hernandez,12/10/22,"Las Vegas, Nevada, USA",Red,Featherweight,KO/TKO,Punches,2,Billy Quarantillo,Alexander Hernandez
TJ Brown,Erik Silva,12/10/22,"Las Vegas, Nevada, USA",Red,Featherweight,SUB,Arm Triangle,3,TJ Brown,Erik Silva
Cameron Saaiman,Steven Koslow,12/10/22,"Las Vegas, Nevada, USA",Red,Bantamweight,KO/TKO,Punches,3,Cameron Saaiman,Steven Koslow
Stephen Thompson,Kevin Holland,12/3/22,"Orlando, Florida, USA",Red,Welterweight,KO/TKO,None,4,Stephen Thompson,Kevin Holland
Bryan Barberena,Rafael Dos Anjos,12/3/22,"Orlando, Florida, USA",Blue,Welterweight,SUB,Rear Naked Choke,2,Rafael Dos Anjos,Bryan Barberena
Matheus Nicolau,Matt Schnell,12/3/22,"Orlando, Florida, USA",Red,Flyweight,KO/TKO,Punch,2,Matheus Nicolau,Matt Schnell
Tai Tuivasa,Sergei Pavlovich,12/3/22,"Orlando, Florida, USA",Blue,Heavyweight,KO/TKO,Punches,1,Sergei Pavlovich,Tai Tuivasa
Jack Hermansson,Roman Dolidze,12/3/22,"Orlando, Florida, USA",Blue,Middleweight,KO/TKO,Punches,2,Roman Dolidze,Jack Hermansson
Eryk Anders,Kyle Daukaus,12/3/22,"Orlando, Florida, USA",Red,Middleweight,KO/TKO,Punches,2,Eryk Anders,Kyle Daukaus
Niko Price,Phil Rowe,12/3/22,"Orlando, Florida, USA",Blue,Welterweight,KO/TKO,Punches,3,Phil Rowe,Niko Price
Angela Hill,Emily Ducote,12/3/22,"Orlando, Florida, USA",Red,Women's Strawweight,U-DEC,None,3,Angela Hill,Emily Ducote
Clay Guida,Scott Holtzman,12/3/22,"Orlando, Florida, USA",Red,Lightweight,S-DEC,None,3,Clay Guida,Scott Holtzman
Michael Johnson,Marc Diakiese,12/3/22,"Orlando, Florida, USA",Red,Lightweight,U-DEC,None,3,Michael Johnson,Marc Diakiese
Darren Elkins,Jonathan Pearce,12/3/22,"Orlando, Florida, USA",Blue,Featherweight,U-DEC,None,3,Jonathan Pearce,Darren Elkins
Natan Levy,Genaro Valdez,12/3/22,"Orlando, Florida, USA",Red,Lightweight,U-DEC,None,3,Natan Levy,Genaro Valdez
Marcelo Rojo,Francis Marshall,12/3/22,"Orlando, Florida, USA",Blue,Featherweight,KO/TKO,Punch,2,Francis Marshall,Marcelo Rojo
Yazmin Jauregui,Istela Nunes,12/3/22,"Orlando, Florida, USA",Red,Women's Strawweight,KO/TKO,Punches,2,Yazmin Jauregui,Istela Nunes
Kennedy Nzechukwu,Ion Cutelaba,11/19/22,"Las Vegas, Nevada, USA",Red,Light Heavyweight,KO/TKO,Knee,2,Kennedy Nzechukwu,Ion Cutelaba
Chase Sherman,Waldo Cortes-Acosta,11/19/22,"Las Vegas, Nevada, USA",Blue,Heavyweight,U-DEC,None,3,Waldo Cortes-Acosta,Chase Sherman
Andre Fialho,Muslim Salikhov,11/19/22,"Las Vegas, Nevada, USA",Blue,Welterweight,KO/TKO,Kick,3,Muslim Salikhov,Andre Fialho
Jack Della Maddalena,Danny Roberts,11/19/22,"Las Vegas, Nevada, USA",Red,Welterweight,KO/TKO,Punches,1,Jack Della Maddalena,Danny Roberts
Charles Johnson,Zhalgas Zhumagulov,11/19/22,"Las Vegas, Nevada, USA",Red,Flyweight,S-DEC,None,3,Charles Johnson,Zhalgas Zhumagulov
Jennifer Maia,Maryna Moroz,11/19/22,"Las Vegas, Nevada, USA",Red,Women's Flyweight,U-DEC,None,3,Jennifer Maia,Maryna Moroz
Vince Morales,Miles Johns,11/19/22,"Las Vegas, Nevada, USA",Blue,Bantamweight,U-DEC,None,3,Miles Johns,Vince Morales
Ricky Turcios,Kevin Natividad,11/19/22,"Las Vegas, Nevada, USA",Red,Bantamweight,S-DEC,None,3,Ricky Turcios,Kevin Natividad
Vanessa Demopoulos,Maria Oliveira,11/19/22,"Las Vegas, Nevada, USA",Red,Women's Strawweight,U-DEC,None,3,Vanessa Demopoulos,Maria Oliveira
Brady Hiestand,Fernie Garcia,11/19/22,"Las Vegas, Nevada, USA",Red,Bantamweight,U-DEC,None,3,Brady Hiestand,Fernie Garcia
Natalia Silva,Tereza Bleda,11/19/22,"Las Vegas, Nevada, USA",Red,Women's Flyweight,KO/TKO,Spinning Back Kick,3,Natalia Silva,Tereza Bleda
Israel Adesanya,Alex Pereira,11/12/22,"New York City, New York, USA",Blue,Middleweight,KO/TKO,Punches,5,Alex Pereira,Israel Adesanya
Carla Esparza,Zhang Weili,11/12/22,"New York City, New York, USA",Blue,Women's Strawweight,SUB,Rear Naked Choke,2,Zhang Weili,Carla Esparza
Dustin Poirier,Michael Chandler,11/12/22,"New York City, New York, USA",Red,Lightweight,SUB,Rear Naked Choke,3,Dustin Poirier,Michael Chandler
Frankie Edgar,Chris Gutierrez,11/12/22,"New York City, New York, USA",Blue,Bantamweight,KO/TKO,Knee,1,Chris Gutierrez,Frankie Edgar
Dan Hooker,Claudio Puelles,11/12/22,"New York City, New York, USA",Red,Lightweight,KO/TKO,Kick,2,Dan Hooker,Claudio Puelles
Brad Riddell,Renato Moicano,11/12/22,"New York City, New York, USA",Blue,Lightweight,SUB,Rear Naked Choke,1,Renato Moicano,Brad Riddell
Dominick Reyes,Ryan Spann,11/12/22,"New York City, New York, USA",Blue,Light Heavyweight,KO/TKO,Punch,1,Ryan Spann,Dominick Reyes
Erin Blanchfield,Molly McCann,11/12/22,"New York City, New York, USA",Red,Women's Flyweight,SUB,Kimura,1,Erin Blanchfield,Molly McCann
Andre Petroski,Wellington Turman,11/12/22,"New York City, New York, USA",Red,Middleweight,U-DEC,None,3,Andre Petroski,Wellington Turman
Matt Frevola,Ottman Azaitar,11/12/22,"New York City, New York, USA",Red,Lightweight,KO/TKO,Punch,1,Matt Frevola,Ottman Azaitar
Karolina Kowalkiewicz,Silvana Gomez Juarez,11/12/22,"New York City, New York, USA",Red,Women's Strawweight,U-DEC,None,3,Karolina Kowalkiewicz,Silvana Gomez Juarez
Michael Trizano,SeungWoo Choi,11/12/22,"New York City, New York, USA",Red,Featherweight,KO/TKO,Punch,1,Michael Trizano,SeungWoo Choi
Julio Arce,Montel Jackson,11/12/22,"New York City, New York, USA",Blue,Bantamweight,U-DEC,None,3,Montel Jackson,Julio Arce
Carlos Ulberg,Nicolae Negumereanu,11/12/22,"New York City, New York, USA",Red,Light Heavyweight,KO/TKO,Punch,1,Carlos Ulberg,Nicolae Negumereanu
Marina Rodriguez,Amanda Lemos,11/5/22,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,KO/TKO,Punches,3,Amanda Lemos,Marina Rodriguez
Neil Magny,Daniel Rodriguez,11/5/22,"Las Vegas, Nevada, USA",Red,Welterweight,SUB,D'Arce Choke,3,Neil Magny,Daniel Rodriguez
Darrick Minner,Shayilan Nuerdanbieke,11/5/22,"Las Vegas, Nevada, USA",Blue,Featherweight,KO/TKO,Elbows,1,Shayilan Nuerdanbieke,Darrick Minner
Tagir Ulanbekov,Nate Maness,11/5/22,"Las Vegas, Nevada, USA",Red,Flyweight,SUB,Guillotine Choke,1,Tagir Ulanbekov,Nate Maness
Grant Dawson,Mark Madsen,11/5/22,"Las Vegas, Nevada, USA",Red,Lightweight,SUB,Rear Naked Choke,3,Grant Dawson,Mark Madsen
Miranda Maverick,Shanna Young,11/5/22,"Las Vegas, Nevada, USA",Red,Women's Flyweight,U-DEC,None,3,Miranda Maverick,Shanna Young
Mario Bautista,Benito Lopez,11/5/22,"Las Vegas, Nevada, USA",Red,Bantamweight,SUB,Triangle Armbar,1,Mario Bautista,Benito Lopez
Polyana Viana,Jinh Yu Frey,11/5/22,"Las Vegas, Nevada, USA",Red,Women's Strawweight,KO/TKO,Punches,1,Polyana Viana,Jinh Yu Frey
Liudvik Sholinian,Johnny Munoz,11/5/22,"Las Vegas, Nevada, USA",Blue,Bantamweight,U-DEC,None,3,Johnny Munoz,Liudvik Sholinian
Carlos Candelario,Jake Hadley,11/5/22,"Las Vegas, Nevada, USA",Blue,Flyweight,SUB,Triangle Choke,2,Jake Hadley,Carlos Candelario
Tamires Vidal,Ramona Pascual,11/5/22,"Las Vegas, Nevada, USA",Red,Women's Bantamweight,KO/TKO,Flying Knee,1,Tamires Vidal,Ramona Pascual
Calvin Kattar,Arnold Allen,10/29/22,"Las Vegas, Nevada, USA",Blue,Featherweight,KO/TKO,None,2,Arnold Allen,Calvin Kattar
Tim Means,Max Griffin,10/29/22,"Las Vegas, Nevada, USA",Blue,Welterweight,S-DEC,None,3,Max Griffin,Tim Means
Waldo Cortes-Acosta,Jared Vanderaa,10/29/22,"Las Vegas, Nevada, USA",Red,Heavyweight,U-DEC,None,3,Waldo Cortes-Acosta,Jared Vanderaa
Josh Fremd,Tresean Gore,10/29/22,"Las Vegas, Nevada, USA",Blue,Middleweight,SUB,Guillotine Choke,2,Tresean Gore,Josh Fremd
Dustin Jacoby,Khalil Rountree Jr.,10/29/22,"Las Vegas, Nevada, USA",Blue,Light Heavyweight,S-DEC,None,3,Khalil Rountree Jr.,Dustin Jacoby
Phil Hawes,Roman Dolidze,10/29/22,"Las Vegas, Nevada, USA",Blue,Middleweight,KO/TKO,Punches,1,Roman Dolidze,Phil Hawes
Andrei Arlovski,Marcos Rogerio de Lima,10/29/22,"Las Vegas, Nevada, USA",Blue,Heavyweight,SUB,Rear Naked Choke,1,Marcos Rogerio de Lima,Andrei Arlovski
Joseph Holmes,JunYong Park,10/29/22,"Las Vegas, Nevada, USA",Blue,Middleweight,SUB,Rear Naked Choke,2,JunYong Park,Joseph Holmes
Chase Hooper,Steve Garcia,10/29/22,"Las Vegas, Nevada, USA",Blue,Featherweight,KO/TKO,Punches,1,Steve Garcia,Chase Hooper
Cody Durden,Carlos Mota,10/29/22,"Las Vegas, Nevada, USA",Red,Flyweight,U-DEC,None,3,Cody Durden,Carlos Mota
Christian Rodriguez,Joshua Weems,10/29/22,"Las Vegas, Nevada, USA",Red,Bantamweight,SUB,Anaconda Choke,1,Christian Rodriguez,Joshua Weems
Charles Oliveira,Islam Makhachev,10/22/22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Lightweight,SUB,Arm Triangle,2,Islam Makhachev,Charles Oliveira
Aljamain Sterling,TJ Dillashaw,10/22/22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Bantamweight,KO/TKO,Punches,2,Aljamain Sterling,TJ Dillashaw
Petr Yan,Sean O'Malley,10/22/22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Bantamweight,S-DEC,None,3,Sean O'Malley,Petr Yan
Beneil Dariush,Mateusz Gamrot,10/22/22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Lightweight,U-DEC,None,3,Beneil Dariush,Mateusz Gamrot
Katlyn Chookagian,Manon Fiorot,10/22/22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Women's Flyweight,U-DEC,None,3,Manon Fiorot,Katlyn Chookagian
Belal Muhammad,Sean Brady,10/22/22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Welterweight,KO/TKO,Punches,2,Belal Muhammad,Sean Brady
Makhmud Muradov,Caio Borralho,10/22/22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Middleweight,U-DEC,None,3,Caio Borralho,Makhmud Muradov
Volkan Oezdemir,Nikita Krylov,10/22/22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Blue,Light Heavyweight,U-DEC,None,3,Nikita Krylov,Volkan Oezdemir
Abubakar Nurmagomedov,Gadzhi Omargadzhiev,10/22/22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Welterweight,U-DEC,None,3,Abubakar Nurmagomedov,Gadzhi Omargadzhiev
Armen Petrosyan,AJ Dobson,10/22/22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Middleweight,U-DEC,None,3,Armen Petrosyan,AJ Dobson
Muhammad Mokaev,Malcolm Gordon,10/22/22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Flyweight,SUB,Armbar,3,Muhammad Mokaev,Malcolm Gordon
Karol Rosa,Lina Lansberg,10/22/22,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Red,Women's Bantamweight,M-DEC,None,3,Karol Rosa,Lina Lansberg
Alexa Grasso,Viviane Araujo,10/15/22,"Las Vegas, Nevada, USA",Red,Women's Flyweight,U-DEC,None,5,Alexa Grasso,Viviane Araujo
Cub Swanson,Jonathan Martinez,10/15/22,"Las Vegas, Nevada, USA",Blue,Bantamweight,KO/TKO,Kick,2,Jonathan Martinez,Cub Swanson
Jordan Wright,Dusko Todorovic,10/15/22,"Las Vegas, Nevada, USA",Blue,Middleweight,KO/TKO,Elbows,2,Dusko Todorovic,Jordan Wright
Raphael Assuncao,Victor Henry,10/15/22,"Las Vegas, Nevada, USA",Red,Bantamweight,U-DEC,None,3,Raphael Assuncao,Victor Henry
Misha Cirkunov,Alonzo Menifield,10/15/22,"Las Vegas, Nevada, USA",Blue,Light Heavyweight,KO/TKO,Punch,1,Alonzo Menifield,Misha Cirkunov
Mana Martinez,Brandon Davis,10/15/22,"Las Vegas, Nevada, USA",Red,Bantamweight,S-DEC,None,3,Mana Martinez,Brandon Davis
Nick Maximov,Jacob Malkoun,10/15/22,"Las Vegas, Nevada, USA",Blue,Middleweight,U-DEC,None,3,Jacob Malkoun,Nick Maximov
Joanderson Brito,Lucas Alexander,10/15/22,"Las Vegas, Nevada, USA",Red,Featherweight,SUB,Rear Naked Choke,1,Joanderson Brito,Lucas Alexander
Piera Rodriguez,Sam Hughes,10/15/22,"Las Vegas, Nevada, USA",Red,Women's Strawweight,U-DEC,None,3,Piera Rodriguez,Sam Hughes
Tatsuro Taira,CJ Vergara,10/15/22,"Las Vegas, Nevada, USA",Red,Flyweight,SUB,Armbar,2,Tatsuro Taira,CJ Vergara
Mike Jackson,Pete Rodriguez,10/15/22,"Las Vegas, Nevada, USA",Blue,Welterweight,KO/TKO,Knee,1,Pete Rodriguez,Mike Jackson
Mackenzie Dern,Yan Xiaonan,10/1/22,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,M-DEC,None,5,Yan Xiaonan,Mackenzie Dern
Randy Brown,Francisco Trinaldo,10/1/22,"Las Vegas, Nevada, USA",Red,Welterweight,U-DEC,None,3,Randy Brown,Francisco Trinaldo
Raoni Barcelos,Trevin Jones,10/1/22,"Las Vegas, Nevada, USA",Red,Bantamweight,U-DEC,None,3,Raoni Barcelos,Trevin Jones
Sodiq Yusuff,Don Shainis,10/1/22,"Las Vegas, Nevada, USA",Red,Featherweight,SUB,Guillotine Choke,1,Sodiq Yusuff,Don Shainis
Mike Davis,Viacheslav Borshchev,10/1/22,"Las Vegas, Nevada, USA",Red,Lightweight,U-DEC,None,3,Mike Davis,Viacheslav Borshchev
John Castaneda,Daniel Santos,10/1/22,"Las Vegas, Nevada, USA",Blue,Catch Weight,KO/TKO,Knee,2,Daniel Santos,John Castaneda
Ilir Latifi,Aleksei Oleinik,10/1/22,"Las Vegas, Nevada, USA",Red,Heavyweight,U-DEC,None,3,Ilir Latifi,Aleksei Oleinik
Joaquim Silva,Jesse Ronson,10/1/22,"Las Vegas, Nevada, USA",Red,Lightweight,KO/TKO,Flying Knee,2,Joaquim Silva,Jesse Ronson
Krzysztof Jotko,Brendan Allen,10/1/22,"Las Vegas, Nevada, USA",Blue,Middleweight,SUB,Rear Naked Choke,1,Brendan Allen,Krzysztof Jotko
Julija Stoliarenko,Chelsea Chandler,10/1/22,"Las Vegas, Nevada, USA",Blue,Catch Weight,KO/TKO,Punches,1,Chelsea Chandler,Julija Stoliarenko
Guido Cannetti,Randy Costa,10/1/22,"Las Vegas, Nevada, USA",Red,Bantamweight,SUB,Rear Naked Choke,1,Guido Cannetti,Randy Costa
Cory Sandhagen,Song Yadong,9/17/22,"Las Vegas, Nevada, USA",Red,Bantamweight,KO/TKO,None,4,Cory Sandhagen,Song Yadong
Chidi Njokuani,Gregory Rodrigues,9/17/22,"Las Vegas, Nevada, USA",Blue,Middleweight,KO/TKO,Punches,2,Gregory Rodrigues,Chidi Njokuani
Andre Fili,Bill Algeo,9/17/22,"Las Vegas, Nevada, USA",Red,Featherweight,S-DEC,None,3,Andre Fili,Bill Algeo
Joe Pyfer,Alen Amedovski,9/17/22,"Las Vegas, Nevada, USA",Red,Middleweight,KO/TKO,Punch,1,Joe Pyfer,Alen Amedovski
Tanner Boser,Rodrigo Nascimento,9/17/22,"Las Vegas, Nevada, USA",Blue,Heavyweight,S-DEC,None,3,Rodrigo Nascimento,Tanner Boser
Anthony Hernandez,Marc-Andre Barriault,9/17/22,"Las Vegas, Nevada, USA",Red,Middleweight,SUB,Arm Triangle,3,Anthony Hernandez,Marc-Andre Barriault
Damon Jackson,Pat Sabatini,9/17/22,"Las Vegas, Nevada, USA",Red,Featherweight,KO/TKO,Punches,1,Damon Jackson,Pat Sabatini
Trevin Giles,Louis Cosce,9/17/22,"Las Vegas, Nevada, USA",Red,Welterweight,U-DEC,None,3,Trevin Giles,Louis Cosce
Denise Gomes,Loma Lookboonmee,9/17/22,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,U-DEC,None,3,Loma Lookboonmee,Denise Gomes
Trey Ogden,Daniel Zellhuber,9/17/22,"Las Vegas, Nevada, USA",Red,Lightweight,U-DEC,None,3,Trey Ogden,Daniel Zellhuber
Mariya Agapova,Gillian Robertson,9/17/22,"Las Vegas, Nevada, USA",Blue,Women's Flyweight,SUB,Rear Naked Choke,2,Gillian Robertson,Mariya Agapova
Tony Gravely,Javid Basharat,9/17/22,"Las Vegas, Nevada, USA",Blue,Bantamweight,U-DEC,None,3,Javid Basharat,Tony Gravely
Nikolas Motta,Cameron VanCamp,9/17/22,"Las Vegas, Nevada, USA",Red,Lightweight,KO/TKO,Punch,1,Nikolas Motta,Cameron VanCamp
Nate Diaz,Tony Ferguson,9/10/22,"Las Vegas, Nevada, USA",Red,Welterweight,SUB,Guillotine Choke,4,Nate Diaz,Tony Ferguson
Khamzat Chimaev,Kevin Holland,9/10/22,"Las Vegas, Nevada, USA",Red,Catch Weight,SUB,D'Arce Choke,1,Khamzat Chimaev,Kevin Holland
Li Jingliang,Daniel Rodriguez,9/10/22,"Las Vegas, Nevada, USA",Blue,Catch Weight,S-DEC,None,3,Daniel Rodriguez,Li Jingliang
Irene Aldana,Macy Chiasson,9/10/22,"Las Vegas, Nevada, USA",Red,Catch Weight,KO/TKO,Kick,3,Irene Aldana,Macy Chiasson
Johnny Walker,Ion Cutelaba,9/10/22,"Las Vegas, Nevada, USA",Red,Light Heavyweight,SUB,Rear Naked Choke,1,Johnny Walker,Ion Cutelaba
Hakeem Dawodu,Julian Erosa,9/10/22,"Las Vegas, Nevada, USA",Blue,Featherweight,U-DEC,None,3,Julian Erosa,Hakeem Dawodu
Jailton Almeida,Anton Turkalj,9/10/22,"Las Vegas, Nevada, USA",Red,Catch Weight,SUB,Rear Naked Choke,1,Jailton Almeida,Anton Turkalj
Denis Tiuliulin,Jamie Pickett,9/10/22,"Las Vegas, Nevada, USA",Red,Middleweight,KO/TKO,Punches,2,Denis Tiuliulin,Jamie Pickett
Jake Collier,Chris Barnett,9/10/22,"Las Vegas, Nevada, USA",Blue,Heavyweight,KO/TKO,Punches,2,Chris Barnett,Jake Collier
Norma Dumont,Danyelle Wolf,9/10/22,"Las Vegas, Nevada, USA",Red,Women's Featherweight,U-DEC,None,3,Norma Dumont,Danyelle Wolf
Chad Anheliger,Alatengheili,9/10/22,"Las Vegas, Nevada, USA",Blue,Bantamweight,U-DEC,None,3,Alatengheili,Chad Anheliger
Melissa Martinez,Elise Reed,9/10/22,"Las Vegas, Nevada, USA",Blue,Women's Strawweight,U-DEC,None,3,Elise Reed,Melissa Martinez
Darian Weeks,Yohan Lainesse,9/10/22,"Las Vegas, Nevada, USA",Blue,Welterweight,S-DEC,None,3,Yohan Lainesse,Darian Weeks
Ciryl Gane,Tai Tuivasa,9/3/22,"Paris, Ile-de-France, France",Red,Heavyweight,KO/TKO,Punches,3,Ciryl Gane,Tai Tuivasa
Robert Whittaker,Marvin Vettori,9/3/22,"Paris, Ile-de-France, France",Red,Middleweight,U-DEC,None,3,Robert Whittaker,Marvin Vettori
Nassourdine Imavov,Joaquin Buckley,9/3/22,"Paris, Ile-de-France, France",Red,Middleweight,U-DEC,None,3,Nassourdine Imavov,Joaquin Buckley
Alessio Di Chirico,Roman Kopylov,9/3/22,"Paris, Ile-de-France, France",Blue,Middleweight,KO/TKO,Punches,3,Roman Kopylov,Alessio Di Chirico
William Gomis,Jarno Errens,9/3/22,"Paris, Ile-de-France, France",Red,Featherweight,U-DEC,None,3,William Gomis,Jarno Errens
Charles Jourdain,Nathaniel Wood,9/3/22,"Paris, Ile-de-France, France",Blue,Featherweight,U-DEC,None,3,Nathaniel Wood,Charles Jourdain
Abus Magomedov,Dustin Stoltzfus,9/3/22,"Paris, Ile-de-France, France",Red,Middleweight,KO/TKO,Punches,1,Abus Magomedov,Dustin Stoltzfus
